interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,396,0,312,64.63,86.44,2,1,386000,213045,0,1562,396,1.0
5,0,400,0,381,65.53,86.36,2,1,386000,441156,0,3471,400,1.0
5,0,400,0,360,65.8,86.29,2,1,386000,665063,0,5275,400,1.0
5,0,396,0,359,65.13,86.31,2,1,386000,890388,0,7072,396,1.0
5,0,400,0,390,65.52,86.21,2,1,386000,1116948,0,9025,400,1.0
5,0,400,0,410,65.53,86.24,2,1,386000,1347588,0,11077,400,1.0
5,0,400,0,388,65.22,86.14,2,1,386000,1573474,0,13017,400,1.0
5,0,396,0,371,65.47,86.22,2,1,386000,1792015,0,14876,396,1.0
5,0,400,0,402,64.9,86.22,2,1,386000,2020340,0,16886,400,1.0
5,0,400,0,374,65.06,86.24,2,1,386000,2242533,0,18757,400,1.0
5,0,396,0,364,65.36,86.26,2,1,386000,2461825,0,20581,396,1.0
5,0,400,0,363,65.19,86.39,2,1,386000,2686384,0,22399,400,1.0
5,0,400,0,372,65.43,86.41,2,1,386000,2911434,0,24262,400,1.0
5,0,400,0,388,43.39,86.39,3,1,386000,3138294,0,26206,400,1.0
5,0,396,0,385,59.48,86.35,3,1,386000,3365636,0,28134,396,1.0
5,0,400,0,371,60.13,86.23,3,1,386000,3589006,0,29996,400,1.0
5,0,400,0,382,59.77,86.21,3,1,386000,3815190,0,31907,400,1.0
5,0,400,0,345,59.92,86.04,3,1,386000,4034235,0,33634,400,1.0
5,0,396,0,379,60.03,86.03,3,1,386000,4267778,0,35529,396,1.0
5,0,400,0,353,60.26,86.09,3,1,386000,4485346,0,37298,400,1.0
5,0,400,0,366,59.5,86.03,3,1,386000,4708437,0,39131,400,1.0
5,0,396,0,407,59.12,86.18,3,1,386000,4935774,0,41172,396,1.0
5,0,400,0,388,60.0,86.14,3,1,386000,5160777,0,43113,400,1.0
5,0,400,0,378,59.65,86.18,3,1,386000,5385999,0,45005,400,1.0
5,0,400,0,349,59.49,86.16,3,1,386000,5605403,0,46752,400,1.0
5,0,396,0,402,44.89,86.06,4,1,386000,5835323,0,48764,396,1.0
5,0,400,0,354,57.01,86.07,4,1,386000,6058304,0,50536,400,1.0
5,0,400,0,373,56.33,85.93,4,1,386000,6285939,0,52402,400,1.0
5,0,400,0,390,56.57,85.96,4,1,386000,6510474,0,54352,400,1.0
5,0,396,0,352,56.76,85.94,4,1,386000,6730106,0,56112,396,1.0
5,0,400,0,404,56.57,86.06,4,1,386000,6957266,0,58136,400,1.0
5,0,400,0,383,57.02,86.03,4,1,386000,7182590,0,60051,400,1.0
5,0,400,0,396,57.09,86.02,4,1,386000,7408924,0,62033,400,1.0
