interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,0,396,289,4.53,86.3,2,1,386000,5754,0,1445,396,1.0
5,0,0,400,391,5.13,86.39,2,1,386000,11810,0,3400,400,1.0
5,0,0,400,399,4.94,86.41,2,1,386000,17898,0,5395,400,1.0
5,0,0,396,394,5.04,86.03,2,1,386000,23967,0,7365,396,1.0
5,0,0,400,397,5.89,85.74,2,1,386000,30037,0,9352,400,1.0
5,0,0,400,395,5.79,85.8,2,1,386000,36123,0,11331,400,1.0
5,0,0,400,394,5.42,86.0,2,1,386000,42245,0,13303,400,1.0
5,0,0,396,392,5.32,86.25,2,1,386000,48280,0,15267,396,1.0
5,0,0,400,396,5.6,86.44,2,1,386000,54271,0,17248,400,1.0
5,0,0,400,397,5.61,86.19,2,1,386000,60340,0,19235,400,1.0
5,0,0,396,390,5.33,86.05,2,1,386000,66329,0,21189,396,1.0
5,0,0,400,400,5.34,86.3,2,1,386000,72467,0,23189,400,1.0
5,0,0,400,395,6.37,85.8,2,1,386000,78571,0,25168,400,1.0
5,0,0,400,396,3.83,85.85,3,1,386000,84687,0,27149,400,1.0
5,0,0,396,391,3.55,86.37,3,1,386000,90729,0,29106,396,1.0
5,0,0,400,395,3.87,86.24,3,1,386000,96781,0,31083,400,1.0
5,0,0,400,398,3.23,86.2,3,1,386000,102943,0,33077,400,1.0
5,0,0,400,389,3.68,85.99,3,1,386000,108980,0,35033,400,1.0
5,0,0,396,396,3.88,85.97,3,1,386000,114987,0,37008,396,1.0
5,0,0,400,397,3.87,86.45,3,1,386000,121050,0,38997,400,1.0
5,0,0,400,398,4.13,85.94,3,1,386000,127145,0,40988,400,1.0
5,0,0,396,393,3.75,85.9,3,1,386000,133194,0,42957,396,1.0
5,0,0,400,395,3.94,85.78,3,1,386000,139313,0,44933,400,1.0
5,0,0,400,398,4.38,86.27,3,1,386000,145383,0,46927,400,1.0
5,0,0,400,395,3.88,85.91,3,1,386000,151451,0,48905,400,1.0
5,0,0,396,393,2.89,85.84,4,1,386000,157496,0,50874,396,1.0
5,0,0,400,392,2.76,85.79,4,1,386000,163597,0,52834,400,1.0
5,0,0,400,396,2.76,85.92,4,1,386000,169655,0,54814,400,1.0
5,0,0,396,392,2.76,85.79,4,1,386000,175678,0,56775,396,1.0
5,0,0,400,398,2.91,86.45,4,1,386000,181810,0,58769,400,1.0
5,0,0,400,396,2.91,85.89,4,1,386000,187833,0,60749,400,1.0
5,0,0,400,393,2.71,86.34,4,1,386000,193896,0,62723,400,1.0
5,0,0,396,394,2.51,86.38,4,1,386000,199963,0,64689,396,1.0
5,0,0,400,396,3.15,85.96,4,1,386000,206077,0,66671,400,1.0
5,0,0,400,393,2.82,85.79,4,1,386000,212137,0,68637,400,1.0
5,0,0,396,395,2.7,85.9,4,1,386000,218118,0,70615,396,1.0
5,0,0,400,395,2.67,85.76,4,1,386000,224150,0,72594,400,1.0
5,0,0,400,396,2.35,85.99,5,1,386000,230171,0,74576,400,1.0
5,0,0,400,397,2.21,85.99,5,1,386000,236279,0,76564,400,1.0
5,0,0,396,390,2.48,86.34,5,1,386000,242283,0,78514,396,1.0
5,0,0,400,397,2.68,86.1,5,1,386000,248375,0,80499,400,1.0
5,0,0,400,399,2.28,86.35,5,1,386000,254470,0,82496,400,1.0
5,0,0,396,392,2.24,86.11,5,1,386000,260469,0,84459,396,1.0
5,0,0,400,397,1.9,85.76,5,1,386000,266581,0,86445,400,1.0
5,0,0,400,398,2.4,86.0,5,1,386000,272587,0,88436,400,1.0
5,0,0,400,395,2.13,85.79,5,1,386000,278632,0,90411,400,1.0
5,0,0,396,392,2.48,86.14,5,1,386000,284649,0,92371,396,1.0
5,0,0,400,396,2.09,85.93,5,1,386000,290660,0,94352,400,1.0
5,0,0,400,396,2.25,85.76,5,1,386000,296712,0,96333,400,1.0
5,0,0,396,393,1.87,86.11,6,1,386000,302742,0,98301,396,1.0
5,0,0,400,398,1.97,85.88,6,1,386000,308796,0,100292,400,1.0
5,0,0,400,394,1.94,86.0,6,1,386000,314869,0,102263,400,1.0
5,0,0,400,396,1.97,86.15,6,1,386000,320907,0,104255,400,1.0
5,0,0,396,394,1.74,86.21,6,1,386000,326959,0,106218,396,1.0
5,0,0,400,394,1.97,86.32,6,1,386000,333033,0,108192,400,1.0
5,0,0,400,396,1.97,86.42,6,1,386000,339100,0,110176,400,1.0
5,0,0,396,394,1.97,86.37,6,1,386000,345122,0,112146,396,1.0
5,0,0,400,396,2.0,86.12,6,1,386000,351298,0,114128,400,1.0
5,0,0,400,397,1.68,86.36,6,1,386000,357389,0,116115,400,1.0
5,0,0,400,394,1.9,86.16,6,1,386000,363383,0,118085,400,1.0
5,0,0,396,397,2.0,86.34,6,1,386000,369376,0,120071,396,1.0
5,0,0,400,392,1.77,86.32,7,1,386000,375418,0,122035,400,1.0
5,0,0,400,397,1.7,85.79,7,1,386000,381531,0,124021,400,1.0
5,0,0,396,394,1.75,86.21,7,1,386000,387501,0,125994,396,1.0
5,0,0,400,395,1.75,86.2,7,1,386000,393561,0,127973,400,1.0
5,0,0,400,394,1.66,85.8,7,1,386000,399577,0,129943,400,1.0
5,0,0,396,394,1.92,86.01,7,1,386000,405543,0,131914,396,1.0
5,0,0,400,397,1.8,86.38,7,1,386000,411605,0,133903,400,1.0
5,0,0,400,396,1.89,86.35,7,1,386000,417660,0,135884,400,1.0
5,0,0,400,395,1.74,86.19,7,1,386000,423712,0,137866,400,1.0
5,0,0,396,394,1.8,86.31,7,1,386000,429745,0,139831,396,1.0
5,0,0,400,396,1.72,86.14,7,1,386000,435862,0,141813,400,1.0
5,0,0,400,398,2.0,85.79,7,1,386000,441968,0,143807,400,1.0
5,0,0,396,390,1.64,86.15,8,1,386000,447937,0,145761,396,1.0
5,0,0,400,398,1.55,85.76,8,1,386000,454061,0,147751,400,1.0
5,0,0,400,397,1.85,85.84,8,1,386000,460083,0,149739,400,1.0
5,0,0,400,393,1.48,86.29,8,1,386000,466090,0,151713,400,1.0
5,0,0,396,394,1.53,86.37,8,1,386000,472049,0,153677,396,1.0
5,0,0,400,396,1.6,85.78,8,1,386000,478117,0,155660,400,1.0
5,0,0,400,399,1.36,85.77,8,1,386000,484152,0,157655,400,1.0
5,0,0,396,391,1.6,86.09,8,1,386000,490233,0,159614,396,1.0
5,0,0,400,398,1.67,86.16,8,1,386000,496254,0,161607,400,1.0
5,0,0,400,396,1.48,86.04,8,1,386000,502312,0,163591,400,1.0
5,0,0,396,392,1.6,85.92,8,1,386000,508314,0,165551,396,1.0
5,0,0,400,396,1.43,85.88,8,1,386000,514383,0,167533,400,1.0
5,0,0,400,396,1.44,86.39,9,1,386000,520478,0,169514,400,1.0
5,0,0,400,395,1.23,86.35,9,1,386000,526490,0,171497,400,1.0
5,0,0,396,396,1.4,86.12,9,1,386000,532438,0,173474,396,1.0
5,0,0,400,394,1.49,86.19,9,1,386000,538509,0,175445,400,1.0
5,0,0,400,396,1.33,86.06,9,1,386000,544532,0,177425,400,1.0
5,0,0,396,394,1.32,86.22,9,1,386000,550453,0,179398,396,1.0
5,0,0,400,397,1.49,86.37,9,1,386000,556546,0,181386,400,1.0
5,0,0,400,397,1.34,85.9,9,1,386000,562611,0,183374,400,1.0
5,0,0,396,393,1.42,85.9,9,1,386000,568737,0,185343,396,1.0
5,0,0,400,391,1.38,85.96,9,1,386000,574753,0,187301,400,1.0
5,0,0,400,397,1.51,85.84,9,1,386000,580858,0,189287,400,1.0
5,0,0,400,392,1.29,85.84,9,1,386000,586928,0,191259,400,1.0
5,0,0,396,395,1.25,86.41,10,1,386000,592881,0,193230,396,1.0
5,0,0,400,396,1.28,86.31,10,1,386000,599011,0,195210,400,1.0
