interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,1980,0,0,1969,8.23,86.2,2,1,386000,10064,0,9845,1980,1.0
5,2000,0,0,1981,8.2,86.27,2,1,386000,20185,0,19752,2000,1.0
5,2000,0,0,1983,8.01,85.97,2,1,386000,30397,0,29670,2000,1.0
5,1980,0,0,1984,8.72,86.35,2,1,386000,40376,0,39590,1980,1.0
5,2000,0,0,1997,8.7,85.95,2,1,386000,50329,0,49578,2000,1.0
5,2000,0,0,1986,8.3,86.26,2,1,386000,60422,0,59512,2000,1.0
5,1980,0,0,1975,7.85,86.12,2,1,386000,70278,0,69390,1980,1.0
5,2000,0,0,1992,7.75,86.02,2,1,386000,80285,0,79350,2000,1.0
5,2000,0,0,1994,8.02,86.43,2,1,386000,90392,0,89321,2000,1.0
5,1980,0,0,1973,8.22,86.1,2,1,386000,100483,0,99187,1980,1.0
5,2000,0,0,1986,7.65,85.99,2,1,386000,110476,0,109120,2000,1.0
5,2000,0,0,1996,7.82,86.16,2,1,386000,120450,0,119102,2000,1.0
5,2000,0,0,1967,8.13,85.85,2,1,386000,130322,0,128937,2000,1.0
5,1980,0,0,1997,5.42,85.88,3,1,386000,140344,0,138926,1980,1.0
5,2000,0,0,1988,4.97,86.04,3,1,386000,150274,0,148868,2000,1.0
5,2000,0,0,1976,5.3,86.04,3,1,386000,160177,0,158769,2000,1.0
5,1980,0,0,1993,5.16,85.8,3,1,386000,170177,0,168716,1980,1.0
5,2000,0,0,1987,5.21,86.34,3,1,386000,180177,0,178652,2000,1.0
5,2000,0,0,1994,4.96,85.86,3,1,386000,190313,0,188626,2000,1.0
5,1980,0,0,1975,5.03,86.28,3,1,386000,200217,0,198503,1980,1.0
5,2000,0,0,1993,5.17,86.01,3,1,386000,210313,0,208472,2000,1.0
5,2000,0,0,1986,5.52,86.11,3,1,386000,220438,0,218402,2000,1.0
5,1980,0,0,1974,4.9,86.29,3,1,386000,230621,0,228275,1980,1.0
5,2000,0,0,1993,5.05,85.94,3,1,386000,240536,0,238243,2000,1.0
5,2000,0,0,1988,5.59,86.33,3,1,386000,250593,0,248187,2000,1.0
5,1980,0,0,1972,3.92,86.06,4,1,386000,260467,0,258047,1980,1.0
5,2000,0,0,1994,4.26,86.09,4,1,386000,270468,0,268018,2000,1.0
5,2000,0,0,1991,4.21,85.94,4,1,386000,280503,0,277974,2000,1.0
5,2000,0,0,1972,3.86,86.37,4,1,386000,290413,0,287838,2000,1.0
5,1980,0,0,1995,3.68,85.98,4,1,386000,300330,0,297813,1980,1.0
5,2000,0,0,1983,3.86,85.91,4,1,386000,310486,0,307729,2000,1.0
5,2000,0,0,1983,3.77,86.4,4,1,386000,320492,0,317662,2000,1.0
5,1980,0,0,1989,3.86,86.06,4,1,386000,330488,0,327591,1980,1.0
5,2000,0,0,1993,3.41,86.16,4,1,386000,340276,0,337560,2000,1.0
5,2000,0,0,1982,4.06,86.46,4,1,386000,350147,0,347490,2000,1.0
5,1980,0,0,1977,3.77,86.44,4,1,386000,360163,0,357361,1980,1.0
5,2000,0,0,1996,4.0,86.33,4,1,386000,370227,0,367343,2000,1.0
5,2000,0,0,1986,3.31,86.13,5,1,386000,380446,0,377275,2000,1.0
5,1980,0,0,1969,3.09,86.12,5,1,386000,390432,0,387124,1980,1.0
5,2000,0,0,1996,2.93,86.36,5,1,386000,400608,0,397107,2000,1.0
5,2000,0,0,1989,3.35,86.06,5,1,386000,410661,0,407056,2000,1.0
5,1980,0,0,1972,3.08,85.93,5,1,386000,420497,0,416920,1980,1.0
5,2000,0,0,1991,2.82,86.43,5,1,386000,430360,0,426877,2000,1.0
5,2000,0,0,1991,3.16,86.44,5,1,386000,440350,0,436832,2000,1.0
5,1980,0,0,1975,3.36,86.14,5,1,386000,450265,0,446710,1980,1.0
5,2000,0,0,1984,3.16,86.16,5,1,386000,460214,0,456634,2000,1.0
5,2000,0,0,1996,3.13,86.19,5,1,386000,470243,0,466617,2000,1.0
5,1980,0,0,1969,2.94,86.43,5,1,386000,480155,0,476463,1980,1.0
5,2000,0,0,1989,3.01,85.96,5,1,386000,490287,0,486411,2000,1.0
