interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,99,0,41,19.0,85.84,2,1,386000,46779,0,206,99,1.0
5,0,100,0,92,19.0,86.08,2,1,386000,105969,0,666,100,1.0
5,0,100,0,89,18.86,86.26,2,1,386000,159450,0,1114,100,1.0
5,0,100,0,92,19.04,86.44,2,1,386000,214350,0,1577,100,1.0
5,0,100,0,109,19.34,85.86,2,1,386000,274950,0,2122,100,1.0
5,0,100,0,82,19.06,86.02,2,1,386000,331281,0,2533,100,1.0
5,0,100,0,95,19.03,86.2,2,1,386000,386961,0,3009,100,1.0
5,0,99,0,96,18.57,86.37,2,1,386000,442701,0,3492,99,1.0
5,0,100,0,100,18.64,85.91,2,1,386000,501387,0,3993,100,1.0
5,0,100,0,102,19.38,86.06,2,1,386000,559984,0,4505,100,1.0
5,0,100,0,102,19.24,86.2,2,1,386000,618244,0,5015,100,1.0
5,0,100,0,55,18.88,86.29,2,1,386000,667060,0,5294,100,1.0
5,0,100,0,99,19.14,85.8,2,1,386000,729772,0,5792,100,1.0
5,0,100,0,84,12.5,85.98,3,1,386000,783672,0,6216,100,1.0
5,0,99,0,96,13.1,86.14,3,1,386000,839832,0,6700,99,1.0
5,0,100,0,80,12.89,86.31,3,1,386000,892626,0,7104,100,1.0
5,0,100,0,120,12.98,85.84,3,1,386000,955026,0,7705,100,1.0
5,0,100,0,79,13.16,85.94,3,1,386000,1007093,0,8107,100,1.0
5,0,100,0,121,13.4,86.13,3,1,386000,1070346,0,8708,100,1.0
5,0,100,0,96,13.27,86.29,3,1,386000,1126626,0,9191,100,1.0
5,0,99,0,69,12.91,86.38,3,1,386000,1175346,0,9539,99,1.0
5,0,100,0,130,13.35,85.87,3,1,386000,1241346,0,10192,100,1.0
5,0,100,0,96,12.97,86.04,3,1,386000,1297506,0,10676,100,1.0
5,0,100,0,86,12.71,86.24,3,1,386000,1349826,0,11107,100,1.0
5,0,100,0,85,12.95,86.44,3,1,386000,1402206,0,11536,100,1.0
5,0,100,0,96,9.89,85.86,4,1,386000,1459226,0,12017,100,1.0
5,0,100,0,112,10.04,85.97,4,1,386000,1521086,0,12581,100,1.0
5,0,99,0,96,9.88,86.14,4,1,386000,1576766,0,13062,99,1.0
5,0,100,0,123,9.89,86.38,4,1,386000,1640306,0,13681,100,1.0
5,0,100,0,89,9.97,85.85,4,1,386000,1693886,0,14129,100,1.0
5,0,100,0,69,9.77,86.05,4,1,386000,1741715,0,14478,100,1.0
5,0,100,0,122,9.94,86.28,4,1,386000,1804955,0,15092,100,1.0
5,0,100,0,98,10.07,86.44,4,1,386000,1861835,0,15583,100,1.0
5,0,100,0,101,10.16,85.86,4,1,386000,1919615,0,16088,100,1.0
5,0,99,0,84,9.69,86.04,4,1,386000,1971592,0,16511,99,1.0
5,0,100,0,114,9.97,86.29,4,1,386000,2032072,0,17085,100,1.0
5,0,100,0,94,9.88,85.74,4,1,386000,2087392,0,17555,100,1.0
5,0,100,0,59,7.71,85.94,5,1,386000,2133851,0,17851,100,1.0
5,0,100,0,96,8.23,86.09,5,1,386000,2190371,0,18333,100,1.0
5,0,100,0,98,8.18,86.24,5,1,386000,2247431,0,18826,100,1.0
5,0,100,0,102,8.25,85.74,5,1,386000,2307079,0,19338,100,1.0
5,0,99,0,82,8.03,85.91,5,1,386000,2359159,0,19749,99,1.0
5,0,100,0,93,8.11,86.06,5,1,386000,2414479,0,20218,100,1.0
5,0,100,0,110,7.98,86.32,5,1,386000,2473579,0,20771,100,1.0
5,0,100,0,96,7.96,85.76,5,1,386000,2529739,0,21251,100,1.0
5,0,100,0,95,8.01,86.04,5,1,386000,2587051,0,21726,100,1.0
5,0,100,0,57,7.87,86.24,5,1,386000,2635996,0,22012,100,1.0
5,0,99,0,91,8.03,86.39,5,1,386000,2690746,0,22471,99,1.0
5,0,100,0,126,8.12,85.89,5,1,386000,2755486,0,23103,100,1.0
