interval_seconds,ycsb_ops,kmeans_ops,bank_ops,total_ops_interval,cpu_utilization,memory_utilization,core_count,threads_per_core,evict_threshold,cache_hit,sst_count,total_ops_cumulative,request_total,memory_utilization_normalized
5,0,0,1584,1054,19.48,85.88,2,1,386000,22697,0,5273,1584,1.0
5,0,0,1600,1056,20.41,85.76,2,1,386000,45486,0,10556,1600,1.0
5,0,0,1584,1141,19.87,86.26,2,1,386000,68355,0,16261,1584,1.0
5,0,0,1600,1070,21.07,86.32,2,1,386000,91287,0,21620,1600,1.0
5,0,0,1584,1103,21.23,86.16,2,1,386000,114090,0,27130,1584,1.0
5,0,0,1600,1274,20.97,86.09,2,1,386000,137618,0,33502,1600,1.0
5,0,0,1600,1553,23.16,86.25,2,1,386000,161764,0,41272,1600,1.0
5,0,0,1584,1569,22.02,86.15,2,1,386000,185922,0,49116,1584,1.0
5,0,0,1600,1562,23.76,85.9,2,1,386000,210180,0,56928,1600,1.0
5,0,0,1584,1563,23.08,86.3,2,1,386000,234205,0,64744,1584,1.0
5,0,0,1600,1568,23.66,86.22,2,1,386000,258497,0,72596,1600,1.0
5,0,0,1600,1558,23.57,86.34,2,1,386000,282420,0,80382,1600,1.0
5,0,0,1584,1573,22.33,85.89,2,1,386000,306599,0,88247,1584,1.0
5,0,0,1600,1560,14.91,86.19,3,1,386000,330776,0,96055,1600,1.0
5,0,0,1584,1557,14.74,86.26,3,1,386000,354923,0,103838,1584,1.0
5,0,0,1600,1565,15.18,86.11,3,1,386000,379016,0,111664,1600,1.0
5,0,0,1584,1556,16.03,85.87,3,1,386000,402966,0,119447,1584,1.0
5,0,0,1600,1568,15.97,85.76,3,1,386000,427239,0,127288,1600,1.0
5,0,0,1584,1553,15.28,86.44,3,1,386000,451256,0,135055,1584,1.0
5,0,0,1600,1570,15.33,85.91,3,1,386000,475359,0,142908,1600,1.0
5,0,0,1600,1555,15.41,86.41,3,1,386000,499429,0,150688,1600,1.0
5,0,0,1584,1571,15.92,86.11,3,1,386000,523515,0,158542,1584,1.0
5,0,0,1600,1549,16.08,86.24,3,1,386000,547558,0,166296,1600,1.0
5,0,0,1584,1565,15.08,86.32,3,1,386000,571732,0,174117,1584,1.0
5,0,0,1600,1562,15.65,85.95,3,1,386000,595918,0,181931,1600,1.0
5,0,0,1584,1557,11.72,86.29,4,1,386000,619846,0,189715,1584,1.0
5,0,0,1600,1572,11.67,85.92,4,1,386000,644134,0,197575,1600,1.0
5,0,0,1584,1550,11.5,86.34,4,1,386000,668138,0,205327,1584,1.0
5,0,0,1600,1570,11.6,86.11,4,1,386000,692374,0,213178,1600,1.0
5,0,0,1584,1552,12.1,86.27,4,1,386000,716445,0,220941,1584,1.0
5,0,0,1600,1571,12.19,86.37,4,1,386000,740672,0,228798,1600,1.0
5,0,0,1600,1557,12.04,86.12,4,1,386000,764669,0,236584,1600,1.0
5,0,0,1584,1572,11.52,85.88,4,1,386000,788781,0,244445,1584,1.0
5,0,0,1600,1548,11.8,85.88,4,1,386000,812973,0,252190,1600,1.0
5,0,0,1584,1571,11.29,86.15,4,1,386000,837221,0,260044,1584,1.0
5,0,0,1600,1553,12.01,86.09,4,1,386000,861483,0,267817,1600,1.0
5,0,0,1584,1563,11.67,86.13,4,1,386000,885466,0,275628,1584,1.0
